Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352798.2014813,718,0,0,,42.33847166666666,-71.09002333333332,15.2,327825.92895612994,4689472.949399817,19.0,T,0
1646352799.2017453,719,0,0,,42.338523333333335,-71.09004666666667,15.4,327824.14771510445,4689478.733838499,19.0,T,0
1646352800.199471,720,0,0,,42.33858,-71.09007333333334,14.9,327822.1055165484,4689485.080239595,19.0,T,0
1646352801.200764,721,0,0,,42.33863833333333,-71.09010166666667,14.4,327819.9305674104,4689491.615087077,19.0,T,0
1646352802.198208,722,0,0,,42.338695,-71.09013333333333,14.7,327817.47646639444,4689497.971614705,19.0,T,0
1646352803.1996598,723,0,0,,42.33875333333333,-71.09016666666668,14.8,327814.88961593347,4689504.516589115,19.0,T,0
1646352804.1970162,724,0,0,,42.33881500000001,-71.09020333333332,15.1,327812.0372625642,4689511.438456273,19.0,T,0
1646352805.203556,725,0,0,,42.338878333333334,-71.09023666666667,15.1,327809.4640711291,4689518.538645196,19.0,T,0
1646352806.1994355,726,0,0,,42.338943333333326,-71.09026999999999,15.1,327806.89543487283,4689525.823905986,19.0,T,0
1646352807.203389,727,0,0,,42.33900666666666,-71.09030166666666,15.1,327804.4595579201,4689532.920721991,19.0,T,0
1646352808.2027001,728,0,0,,42.33907166666667,-71.09032499999999,14.7,327802.71475005813,4689540.185733209,19.0,T,0
1646352809.2015295,729,0,0,,42.33913833333333,-71.09034499999999,13.8,327801.2491013465,4689547.629065066,19.0,T,0
1646352810.2023578,730,0,0,,42.3392,-71.09037166666668,13.2,327799.2205971986,4689554.530686798,19.0,T,0
1646352811.2046332,731,0,0,,42.339258333333326,-71.09039666666666,12.8,327797.32030044566,4689561.05879247,19.0,T,0
1646352812.2058823,732,0,0,,42.33931166666667,-71.09042166666667,12.6,327795.40635824704,4689567.031686705,19.0,T,0
1646352813.2036784,733,0,0,,42.339360000000006,-71.09044333333333,12.6,327793.75337443996,4689572.442618481,19.0,T,0
1646352814.2030153,734,0,0,,42.33940166666666,-71.09046333333335,12.7,327792.21949593123,4689577.109892393,19.0,T,0
1646352815.2040927,735,0,0,,42.33943500000001,-71.09048,12.8,327790.9374739525,4689580.8450620575,19.0,T,0
1646352816.2030644,736,0,0,,42.33945999999999,-71.09049333333334,13.0,327789.9073074737,4689583.648127285,19.0,T,0
1646352817.2045112,737,0,0,,42.33948166666667,-71.09049833333333,13.4,327789.55455146526,4689586.064173302,19.0,T,0
1646352818.2042818,738,0,0,,42.33949166666666,-71.09049999999999,13.8,327789.44454952335,4689587.177973167,19.0,T,0
1646352819.2055,739,0,0,,42.339488333333335,-71.09049833333333,13.5,327789.5727514344,4689586.804456152,19.0,T,0
1646352820.2038789,740,0,0,,42.33948666666667,-71.09049833333333,13.5,327789.5682014419,4689586.61938544,19.0,T,0
1646352821.2057352,741,0,0,,42.339488333333335,-71.09049833333333,13.5,327789.5727514344,4689586.804456152,19.0,T,0
1646352822.2037895,742,0,0,,42.339488333333335,-71.09049833333333,13.5,327789.5727514344,4689586.804456152,19.0,T,0
1646352823.2064807,743,0,0,,42.339488333333335,-71.09049833333333,13.5,327789.5727514344,4689586.804456152,19.0,T,0
1646352824.2048273,744,0,0,,42.339488333333335,-71.09049833333333,13.5,327789.5727514344,4689586.804456152,19.0,T,0
1646352825.204169,745,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352826.2037642,746,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352827.2039387,747,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352828.2057545,748,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352829.2024124,749,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352830.1989694,750,0,0,,42.339488333333335,-71.09049833333333,13.6,327789.5727514344,4689586.804456152,19.0,T,0
1646352831.202942,751,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352832.2187207,752,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352833.200953,753,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352834.200086,754,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352835.2195964,755,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352836.2031674,756,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352837.2018392,757,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352838.2016037,758,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352839.2024796,759,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352840.2022693,760,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352841.2027225,761,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352842.2015922,762,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352843.2031608,763,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352844.2031107,764,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352845.2035222,765,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352846.202751,766,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352847.2061186,767,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
