Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352655.2047627,575,0,0,,42.337256666666654,-71.08967333333334,17.2,327851.44728939235,4689337.324239425,19.0,T,0
1646352656.2035074,576,0,0,,42.33724999999999,-71.089675,17.1,327851.29179062543,4689336.587331094,19.0,T,0
1646352657.2040985,577,0,0,,42.33724166666666,-71.08968333333333,16.4,327850.5825166636,4689335.67884909,19.0,T,0
1646352658.2044232,578,0,0,,42.337228333333336,-71.08969166666667,15.8,327849.8595984131,4689334.215155234,19.0,T,0
1646352659.2034187,579,0,0,,42.337213333333324,-71.08970000000001,15.1,327849.1321318275,4689332.566390803,19.0,T,0
1646352660.2067828,580,0,0,,42.337198333333326,-71.08971333333335,14.5,327847.99274426943,4689330.927749314,19.0,T,0
1646352661.2065938,581,0,0,,42.33718166666665,-71.08972833333334,14.2,327846.7115011719,4689329.107411677,19.0,T,0
1646352662.209764,582,0,0,,42.33716166666667,-71.08975,13.8,327844.87193328526,4689326.930430376,19.0,T,0
1646352663.2093723,583,0,0,,42.337141666666675,-71.08977333333334,13.6,327842.895057274,4689324.75682392,19.0,T,0
1646352664.20596,584,0,0,,42.33712,-71.089795,13.4,327841.05093886296,4689322.394772924,19.0,T,0
1646352665.2035434,585,0,0,,42.33709666666667,-71.08981000000001,13.2,327839.7514993762,4689319.834153928,19.0,T,0
1646352666.2078433,586,0,0,,42.33707166666666,-71.08981833333334,13.0,327838.99673934176,4689317.074966643,19.0,T,0
1646352667.2018235,587,0,0,,42.337046666666666,-71.08981833333334,12.9,327838.9285148758,4689314.298907089,19.0,T,0
1646352668.2037294,588,0,0,,42.337021666666665,-71.08981000000001,12.8,327839.54682679515,4689311.505975265,19.0,T,0
1646352669.2032788,589,0,0,,42.33700000000001,-71.08979333333333,12.8,327840.86077239807,4689309.066312651,19.0,T,0
1646352670.2027738,590,0,0,,42.336983333333336,-71.08977166666668,12.8,327842.60028562834,4689307.171739049,19.0,T,0
1646352671.2036064,591,0,0,,42.33697166666668,-71.08974666666667,12.7,327844.62805899687,4689305.825629117,19.0,T,0
1646352672.2012618,592,0,0,,42.33696333333334,-71.08971833333334,12.6,327846.939544084,4689304.842912458,19.0,T,0
1646352673.20511,593,0,0,,42.33696166666667,-71.08968833333334,12.5,327849.40652922716,4689304.59710486,19.0,T,0
1646352674.2061105,594,0,0,,42.33696333333334,-71.08965666666666,12.4,327852.01991777384,4689304.7180651985,19.0,T,0
1646352675.2060199,595,0,0,,42.33697166666668,-71.08962333333334,12.2,327854.78880502726,4689305.575934892,19.0,T,0
1646352676.1994069,596,0,0,,42.33698666666666,-71.08959499999999,12.0,327857.1639606957,4689307.184210477,19.0,T,0
1646352677.2017367,597,0,0,,42.337005,-71.08957166666666,11.8,327859.13628883276,4689309.172750285,19.0,T,0
1646352678.1998599,598,0,0,,42.33702833333333,-71.08955500000002,11.7,327860.57302996644,4689311.729998646,19.0,T,0
1646352679.2057803,599,0,0,,42.337051666666675,-71.08954833333334,11.5,327861.18592689367,4689314.30749139,19.0,T,0
1646352680.2177663,600,0,0,,42.33707833333333,-71.08954833333334,11.4,327861.25869025395,4689317.268621538,19.0,T,0
1646352681.2035797,601,0,0,,42.33710333333333,-71.08956,11.2,327860.36575630185,4689320.068299316,19.0,T,0
1646352682.2030995,602,0,0,,42.33712666666668,-71.08957833333334,11.1,327858.91904721665,4689322.696402886,19.0,T,0
1646352683.2135231,603,0,0,,42.33714333333334,-71.08960333333332,10.9,327856.904919974,4689324.597720691,19.0,T,0
1646352684.1966856,604,0,0,,42.337154999999996,-71.08963666666666,10.7,327854.190615258,4689325.960698016,19.0,T,0
1646352685.1991098,605,0,0,,42.33715833333334,-71.08967166666667,10.6,327851.316264669,4689326.401697462,19.0,T,0
1646352686.1983666,606,0,0,,42.33715666666667,-71.08970833333333,10.6,327848.2909632147,4689326.290860466,19.0,T,0
1646352687.197777,607,0,0,,42.33714666666666,-71.08973999999999,10.5,327845.6548418576,4689325.244548554,19.0,T,0
1646352688.1977358,608,0,0,,42.337131666666664,-71.08976666666666,10.7,327843.4169961594,4689323.632902544,19.0,T,0
1646352689.1946156,609,0,0,,42.33711499999999,-71.08978833333335,10.7,327841.5865223751,4689321.826063327,19.0,T,0
1646352690.1971896,610,0,0,,42.33709166666666,-71.08980333333334,10.7,327840.28708300245,4689319.265444236,19.0,T,0
1646352691.1943605,611,0,0,,42.33706666666667,-71.08981000000001,10.7,327839.6696303083,4689316.502882452,19.0,T,0
1646352692.19544,612,0,0,,42.33703999999999,-71.08980666666666,10.7,327839.8714723075,4689313.535003368,19.0,T,0
1646352693.196102,613,0,0,,42.33701500000001,-71.089795,10.7,327840.76439926215,4689310.735322792,19.0,T,0
1646352694.1959383,614,0,0,,42.33699333333333,-71.089775,10.8,327842.3529601024,4689308.288911634,19.0,T,0
1646352695.198646,615,0,0,,42.33697666666667,-71.08974833333333,10.8,327844.5043960317,4689306.384215366,19.0,T,0
1646352696.1934617,616,0,0,,42.33696833333334,-71.08971499999998,10.8,327847.2278030742,4689305.391375762,19.0,T,0
1646352697.1987405,617,0,0,,42.33696499999999,-71.08967833333332,10.7,327850.2394695983,4689304.947000662,19.0,T,0
1646352698.1978967,618,0,0,,42.33697,-71.08963999999999,10.7,327853.41118334455,4689305.4246058585,19.0,T,0
1646352699.1947834,619,0,0,,42.33698166666666,-71.089605,10.6,327856.3264731429,4689306.649243234,19.0,T,0
1646352700.1995153,620,0,0,,42.33700000000001,-71.08957499999998,10.6,327858.848030934,4689308.624286521,19.0,T,0
1646352701.2002954,621,0,0,,42.337021666666665,-71.08955166666667,10.5,327860.82945362234,4689310.982968046,19.0,T,0
1646352702.1967888,622,0,0,,42.337046666666666,-71.08953833333334,10.4,327861.99612705223,4689313.732035381,19.0,T,0
1646352703.1984425,623,0,0,,42.33707166666666,-71.08953333333334,10.4,327862.4762638466,4689316.497972869,19.0,T,0
1646352704.202658,624,0,0,,42.337098333333344,-71.08953833333334,10.3,327862.13710540783,4689319.469225045,19.0,T,0
1646352705.1941898,625,0,0,,42.337123333333324,-71.08955166666667,10.3,327861.10686441656,4689322.272276747,19.0,T,0
1646352706.1982706,626,0,0,,42.337145,-71.08957166666666,10.2,327859.51830081816,4689324.718683606,19.0,T,0
1646352707.1947687,627,0,0,,42.33716166666667,-71.08960166666668,10.1,327857.092253148,4689326.630123585,19.0,T,0
1646352708.1995795,628,0,0,,42.33717000000001,-71.08963666666666,10.1,327854.2315464573,4689327.626333757,19.0,T,0
1646352709.1997626,629,0,0,,42.33717000000001,-71.08967166666667,10.1,327851.348100581,4689327.69719193,19.0,T,0
1646352710.1999695,630,0,0,,42.337165000000006,-71.08970833333333,10.4,327848.3137035498,4689327.216213659,19.0,T,0
1646352711.1987715,631,0,0,,42.33715166666666,-71.08973833333333,10.5,327845.8057932509,4689325.796386134,19.0,T,0
1646352712.1986823,632,0,0,,42.337134999999996,-71.089765,11.0,327843.5633995655,4689323.999669441,19.0,T,0
1646352713.200742,633,0,0,,42.337111666666665,-71.08978166666668,11.2,327842.12665419804,4689321.442424414,19.0,T,0
1646352714.2034323,634,0,0,,42.337088333333334,-71.08979166666667,11.2,327841.23913634603,4689318.871681956,19.0,T,0
1646352715.201046,635,0,0,,42.33706166666666,-71.08979333333333,11.2,327841.0290573069,4689315.913926181,19.0,T,0
1646352716.2006707,636,0,0,,42.33703833333334,-71.08978833333335,11.3,327841.3773036152,4689313.312814017,19.0,T,0
1646352717.2004204,637,0,0,,42.337016666666656,-71.089775,11.3,327842.41663488233,4689310.879900525,19.0,T,0
1646352718.2001536,638,0,0,,42.336998333333334,-71.08975333333332,11.4,327844.1515998767,4689308.8002566695,19.0,T,0
1646352719.2013912,639,0,0,,42.336985,-71.08972499999999,11.3,327846.44943962863,4689307.262327916,19.0,T,0
1646352720.2003455,640,0,0,,42.33697666666667,-71.08969333333333,11.3,327849.03553918336,4689306.272863326,19.0,T,0
1646352721.2000356,641,0,0,,42.33697666666667,-71.08966000000001,11.3,327851.78168653965,4689306.205378667,19.0,T,0
1646352722.2010703,642,0,0,,42.33698166666666,-71.08963000000001,11.2,327854.2668627943,4689306.699855294,19.0,T,0
1646352723.2009037,643,0,0,,42.33699166666667,-71.08960333333332,11.1,327856.4910674383,4689307.756292914,19.0,T,0
1646352724.1951272,644,0,0,,42.33700666666667,-71.08957833333334,11.0,327858.591607379,4689309.371317192,19.0,T,0
1646352725.1944175,645,0,0,,42.33702499999999,-71.08955833333334,10.9,327860.28932000266,4689311.366605459,19.0,T,0
1646352726.197942,646,0,0,,42.33704833333333,-71.08954333333332,10.8,327861.5887531076,4689313.927228055,19.0,T,0
1646352727.1985428,647,0,0,,42.337073333333336,-71.08953666666666,10.7,327862.2061972142,4689316.689791515,19.0,T,0
1646352728.198574,648,0,0,,42.33709999999999,-71.08954,10.7,327862.0043460019,4689319.657669691,19.0,T,0
1646352729.1960034,649,0,0,,42.337125,-71.08955166666667,10.6,327861.111412139,4689322.457347383,19.0,T,0
1646352730.1997192,650,0,0,,42.337145,-71.08957,10.5,327859.6556078175,4689324.715309543,19.0,T,0
1646352731.214059,651,0,0,,42.33716166666667,-71.08959499999999,10.4,327857.6414810074,4689326.616627152,19.0,T,0
1646352732.1985555,652,0,0,,42.33717166666667,-71.089625,10.3,327855.19724296767,4689327.787785269,19.0,T,0
1646352733.220585,653,0,0,,42.33717333333334,-71.08965833333332,10.2,327852.45565207285,4689328.040339477,19.0,T,0
1646352734.2007442,654,0,0,,42.33717000000001,-71.08969166666667,10.1,327849.7004172207,4689327.737682847,19.0,T,0
1646352735.206693,655,0,0,,42.33715833333334,-71.08972,10.1,327847.3343624746,4689326.499551172,19.0,T,0
1646352736.2029321,656,0,0,,42.33714,-71.08974666666667,10.1,327845.0874212689,4689324.517763369,19.0,T,0
1646352737.2020621,657,0,0,,42.337118333333336,-71.089765,10.0,327843.51791769086,4689322.14896306,19.0,T,0
1646352738.197075,658,0,0,,42.33709166666666,-71.08977833333333,9.8,327842.34668977774,4689319.214827956,19.0,T,0
1646352739.205213,659,0,0,,42.337064999999996,-71.08978166666668,9.8,327841.9993040264,4689316.260446563,19.0,T,0
1646352740.199591,660,0,0,,42.33703999999999,-71.08977666666667,9.7,327842.3430024632,4689313.474263817,19.0,T,0
1646352741.1975205,661,0,0,,42.33701500000001,-71.08976333333334,9.7,327843.37323767866,4689310.671209212,19.0,T,0
1646352742.198539,662,0,0,,42.336994999999995,-71.08974166666665,9.8,327845.10365487507,4689308.406494967,19.0,T,0
1646352743.200269,663,0,0,,42.33698166666666,-71.08971333333335,9.7,327847.40149495023,4689306.868566537,19.0,T,0
1646352744.2005239,664,0,0,,42.33697666666667,-71.08968166666666,9.7,327849.9966907591,4689306.249243572,19.0,T,0
1646352745.196427,665,0,0,,42.33697666666667,-71.08964833333333,9.6,327852.74283811345,4689306.181759291,19.0,T,0
1646352746.1957433,666,0,0,,42.336983333333336,-71.08961666666667,9.6,327855.36986949947,4689306.857932754,19.0,T,0
